target_id	length	eff_length	est_counts	tpm
LOC_Os01g01010.1	3017	2818	1427.66	30.8156
LOC_Os01g01010.2	2218	2019	73.3385	2.20944
LOC_Os01g01019.1	1127	928	7	0.458814
LOC_Os01g01030.1	2464	2265	97	2.60489
LOC_Os01g01040.4	1524	1325	45.08	2.06945
LOC_Os01g01040.1	2508	2309	409.131	10.7777
LOC_Os01g01040.3	2583	2384	251.824	6.42505
LOC_Os01g01040.2	2482	2283	294.966	7.85872
LOC_Os01g01050.2	1996	1797	319.429	10.8122
LOC_Os01g01050.1	2039	1840	347.571	11.4898
LOC_Os01g01060.1	920	721	684.693	57.7626
LOC_Os01g01070.3	1369	1170	82.1878	4.27276
LOC_Os01g01070.1	1568	1369	91.5236	4.06646
LOC_Os01g01070.2	1562	1363	461.289	20.5856
LOC_Os01g01080.2	1976	1777	43.8052	1.49942
LOC_Os01g01080.1	1955	1756	3233.35	111.999
LOC_Os01g01080.3	2042	1843	83.8399	2.76702
LOC_Os01g01090.1	2409	2210	5.76247	0.1586
LOC_Os01g01100.1	4017	3818	8.34341	0.132921
LOC_Os01g01110.1	891	692	2	0.175797
LOC_Os01g01115.1	2433	2234	40	1.08909
LOC_Os01g01120.1	1206	1007	2466.73	148.998
LOC_Os01g01130.1	2002	1803	429.266	14.4816
LOC_Os01g01140.1	393	194	0	0
LOC_Os01g01150.2	4638	4439	935.206	12.8147
LOC_Os01g01150.1	3756	3557	1390.8	23.7831
LOC_Os01g01150.3	4603	4404	1971.99	27.2361
LOC_Os01g01160.1	1090	891	1217	83.0806
LOC_Os01g01170.1	2334	2135	47	1.33902
LOC_Os01g01180.1	219	40.6244	0	0
LOC_Os01g01190.1	1869	1670	0	0
LOC_Os01g01200.1	2373	2174	6	0.167872
LOC_Os01g01210.1	639	440	0	0
LOC_Os01g01230.1	663	464	0	0
LOC_Os01g01240.1	4689	4490	0	0
LOC_Os01g01250.1	2499	2300	0	0
LOC_Os01g01260.1	6084	5885	7.34647	0.075931
LOC_Os01g01270.1	3840	3641	15.3967	0.257214
LOC_Os01g01280.1	1226	1027	504	29.8502
LOC_Os01g01290.1	1556	1357	37	1.65847
LOC_Os01g01295.1	1793	1594	236	9.00555
LOC_Os01g01302.1	1155	956	2873	182.795
LOC_Os01g01307.1	979	780	966	75.3302
LOC_Os01g01307.2	835	636	0	0
LOC_Os01g01312.1	4165	3966	431	6.61015
LOC_Os01g01320.1	2808	2609	8.92336	0.208037
LOC_Os01g01330.1	1223	1024	54	3.2076
LOC_Os01g01340.2	1731	1532	859.499	34.1251
LOC_Os01g01340.1	1645	1446	17116.1	719.983
LOC_Os01g01350.1	1151	952	42	2.68348
LOC_Os01g01350.2	1574	1375	0	0
LOC_Os01g01360.1	2503	2304	66	1.7424
LOC_Os01g01369.1	1545	1346	656	29.6446
LOC_Os01g01380.1	3482	3283	666.69	12.3521
LOC_Os01g01390.1	2142	1943	389.821	12.2033
LOC_Os01g01390.2	2175	1976	72.3403	2.22679
LOC_Os01g01390.4	2261	2062	73.3126	2.1626
LOC_Os01g01390.5	1054	855	0	0
LOC_Os01g01390.3	2182	1983	96.5266	2.96081
LOC_Os01g01400.1	2735	2536	1.2519	0.0300267
LOC_Os01g01410.1	2489	2290	353.636	9.39307
LOC_Os01g01410.2	2486	2287	161.112	4.28498
LOC_Os01g01420.1	1657	1458	1541.13	64.2938
LOC_Os01g01420.3	1653	1454	474.977	19.8699
LOC_Os01g01420.2	1913	1714	266.758	9.46658
LOC_Os01g01430.1	1425	1226	6	0.297678
LOC_Os01g01440.1	381	182	0	0
LOC_Os01g01450.2	1492	1293	3450.54	162.321
LOC_Os01g01450.1	1634	1435	22.4621	0.952106
LOC_Os01g01460.1	312	113.306	0	0
LOC_Os01g01470.1	1558	1359	0	0
