target_id	length	eff_length	est_counts	tpm
LOC_Os01g01010.1	3017	2818	1026.49	25.4672
LOC_Os01g01010.2	2218	2019	62.5077	2.16453
LOC_Os01g01019.1	1127	928	2	0.150677
LOC_Os01g01030.1	2464	2265	50	1.54336
LOC_Os01g01040.4	1524	1325	20.1424	1.06282
LOC_Os01g01040.1	2508	2309	226.346	6.85352
LOC_Os01g01040.3	2583	2384	411.99	12.0822
LOC_Os01g01040.2	2482	2283	200.521	6.14074
LOC_Os01g01050.2	1996	1797	265.101	10.314
LOC_Os01g01050.1	2039	1840	241.899	9.19141
LOC_Os01g01060.1	920	721	973.278	94.3773
LOC_Os01g01070.3	1369	1170	114.262	6.82779
LOC_Os01g01070.1	1568	1369	0	0
LOC_Os01g01070.2	1562	1363	498.738	25.5825
LOC_Os01g01080.2	1976	1777	105.794	4.16235
LOC_Os01g01080.1	1955	1756	3144.2	125.185
LOC_Os01g01080.3	2042	1843	78.0035	2.95906
LOC_Os01g01090.1	2409	2210	0	0
LOC_Os01g01100.1	4017	3818	4.5588	0.0834796
LOC_Os01g01110.1	891	692	0	0
LOC_Os01g01115.1	2433	2234	61	1.90903
LOC_Os01g01120.1	1206	1007	926.805	64.3465
LOC_Os01g01130.1	2002	1803	304.195	11.7956
LOC_Os01g01140.1	393	194	0	0
LOC_Os01g01150.2	4638	4439	297.471	4.68517
LOC_Os01g01150.1	3756	3557	1144.11	22.488
LOC_Os01g01150.3	4603	4404	579.416	9.19832
LOC_Os01g01160.1	1090	891	497	38.9982
LOC_Os01g01170.1	2334	2135	27	0.884161
LOC_Os01g01180.1	219	40.6244	0	0
LOC_Os01g01190.1	1869	1670	1	0.0418648
LOC_Os01g01200.1	2373	2174	0	0
LOC_Os01g01210.1	639	440	2	0.317792
LOC_Os01g01230.1	663	464	0	0
LOC_Os01g01240.1	4689	4490	0.131686	0.0020505
LOC_Os01g01250.1	2499	2300	1	0.0303975
LOC_Os01g01260.1	6084	5885	2.4489	0.0290931
LOC_Os01g01270.1	3840	3641	3	0.0576058
LOC_Os01g01280.1	1226	1027	315	21.444
LOC_Os01g01290.1	1556	1357	3	0.154564
LOC_Os01g01295.1	1793	1594	237	10.395
LOC_Os01g01302.1	1155	956	1936	141.584
LOC_Os01g01307.1	979	780	1325	118.765
LOC_Os01g01307.2	835	636	0	0
LOC_Os01g01312.1	4165	3966	566	9.97768
LOC_Os01g01320.1	2808	2609	0	0
LOC_Os01g01330.1	1223	1024	54	3.68688
LOC_Os01g01340.2	1731	1532	680.12	31.0379
LOC_Os01g01340.1	1645	1446	12821.7	619.928
LOC_Os01g01350.1	1151	952	34.3772	2.52464
LOC_Os01g01350.2	1574	1375	8.62275	0.438439
LOC_Os01g01360.1	2503	2304	36	1.09241
LOC_Os01g01369.1	1545	1346	855	44.4106
LOC_Os01g01380.1	3482	3283	301.166	6.41358
LOC_Os01g01390.1	2142	1943	500.691	18.0162
LOC_Os01g01390.2	2175	1976	2.97871e-08	1.05392e-09
LOC_Os01g01390.4	2261	2062	51.1653	1.73481
LOC_Os01g01390.5	1054	855	0	0
LOC_Os01g01390.3	2182	1983	2.1432	0.0755623
LOC_Os01g01400.1	2735	2536	27.3221	0.753235
LOC_Os01g01410.1	2489	2290	242.234	7.39547
LOC_Os01g01410.2	2486	2287	157.444	4.81309
LOC_Os01g01420.1	1657	1458	1175.76	56.3803
LOC_Os01g01420.3	1653	1454	458.863	22.064
LOC_Os01g01420.2	1913	1714	218.229	8.90158
LOC_Os01g01430.1	1425	1226	2	0.114053
LOC_Os01g01440.1	381	182	0	0
LOC_Os01g01450.2	1492	1293	2320.77	125.487
LOC_Os01g01450.1	1634	1435	11.226	0.546938
